id;class;lvl;difficulty;subject;subject_category;questiontype;question;answers;answer;train;mini1;mini2;boss
0;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of be?""";{been, was, being};"""was""";1;1;1;0
1;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Pas Participle of be?""";{been, was, being};"""been""";1;1;1;0
2;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of become?""";{became, become, becomed};"""became""";1;1;1;0
3;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of become?""";{became, become, becomed};"""become""";1;1;1;0
4;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of begin?""";{begun, begined, began};"""began""";1;1;1;0
5;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of begin?""";{begun, begined, began};"""begun""";1;1;1;0
6;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of break?""";{broken, broked, broke};"""broke""";1;1;1;0
7;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of break?""";{broken, broked, broke};"""broken""";1;1;1;0
8;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of bring?""";{bringed, brought, brang};"""brought""";1;1;1;0
9;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of bring?""";{bringed, brought, brang};"""brought""";1;1;1;0
10;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of buy?""";{bought, buyed, buit};"""bought""";1;1;1;0
11;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of buy?""";{bought, buyed, buit};"""bought""";1;1;1;0
12;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of catch?""";{catched, catch, caught};"""caught""";1;1;1;0
13;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of catch?""";{catched, catch, caught};"""caught""";1;1;1;0
14;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of choose?""";{chosed, chosen, chose};"""chose""";1;1;1;0
15;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of choose?""";{chosed, chosen, chose};"""chosen""";1;1;1;0
16;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of come?""";{come, camed, came};"""came""";1;1;1;0
17;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of come?""";{come, camed, came};"""come""";1;1;1;0
18;6 u. 8;1 bis 40;1;e ;"""verbformen""";3;"""Past Tense of drive?""";{driven, drove, drived};"""drove""";1;1;1;0
19;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of drive?""";{driven, drove, drived};"""driven""";1;1;1;0
20;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of do?""";{had, done, did};"""did""";1;1;1;0
21;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of do?""";{had, done, did};"""done""";1;1;1;0
22;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of eat?""";{eaten, eated, ate};"""ate""";1;1;1;0
23;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of eat?""";{eaten, eated, ate};"""eaten""";1;1;1;0
24;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of fall?""";{full, fallen, fell};"""fell""";1;1;1;0
25;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of fall?";{full, fallen, fell};"""fallen""";1;1;1;0
26;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of find?""";{founded, found, finded};"""found""";1;1;1;0
27;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of find?""";{founded, found, finded};"""found""";1;1;1;0
28;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of forget?""";{forgotten, furget, forgot};"""forgot""";1;1;1;0
29;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of forget?""";{forgotten, furget, forgot};"""forgotten""";1;1;1;0
30;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of get?""";{gotten, gut, got};"""got""";1;1;1;0
31;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of get?""";{gotten, gut, got};"""got""";1;1;1;0
32;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of give?""";{gave, gived, given};"""gave""";1;1;1;0
33;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of give?""";{gave, gived, given};"""given""";1;1;1;0
34;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of go?""";{ran, gone, went};"""went""";1;1;1;0
35;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of go?""";{ran, gone, went};"""gone""";1;1;1;0
36;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of have?""";{has, had, hat};"""had""";1;1;1;0
37;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of have?""";{has, had, hat};"""had""";1;1;1;0
38;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of know?""";{knowed, known, knew};"""knew""";1;1;1;0
39;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of know?""";{knowed, known, knew};"""known""";1;1;1;0
40;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of leave?""";{leaved, louved, left};"""left""";1;1;1;0
41;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of leave?""";{leaved, louved, left};"""left""";1;1;1;0
42;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of lose?""";{lost, loosed, lust};"""lost""";1;1;1;0
43;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of lose?""";{lost, loosed, lust};"""lost""";1;1;1;0
44;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of make?""";{done, made, mate};"""made""";1;1;1;0
45;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of make?""";{done, made, mate};"""made""";1;1;1;0
46;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of meet?""";{meet, mad, met};"""met""";1;1;1;0
47;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of meet?""";{meet, mad, met};"""met""";1;1;1;0
48;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of pay?""";{payed, payt, paid};"""paid""";1;1;1;0
49;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of pay?""";{payed, payt, paid};"""paid""";1;1;1;0
50;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of ring?""";{ring, rung, rang};"""rang""";1;1;1;0
51;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of ring?""";{ring, rung, rang};"""rung""";1;1;1;0
52;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of run?""";{ruin, ran, run};"""ran""";1;1;1;0
53;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of run?""";{ruin, ran, run};"""run""";1;1;1;0
54;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of say?""";{sad, sayed, said};"""said""";1;1;1;0
55;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of say?""";{sad, sayed, said};"""said""";1;1;1;0
56;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of see?""";{sad, seen, saw};"""saw""";1;1;1;0
57;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of see?";{sad, seen, saw};"""seen""";1;1;1;0
58;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of sell?""";{selled, sold, sould};"""sold""";1;1;1;0
59;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of sell?""";{selled, sold, sould};"""sold""";1;1;1;0
60;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of send?""";{sent, sended, sand};"""sent""";1;1;1;0
61;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of send?""";{sent, sended, sand};"""sent""";1;1;1;0
62;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of sing?""";{sung, singed, sang};"""sang""";1;1;1;0
63;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of sing?""";{sung, singed, sang};"""sung""";1;1;1;0
64;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Tense of sit?""";{sit, sat, seated};"""sat""";1;1;1;0
65;6 u. 8;1 bis 40;1;e;"""verbformen""";3;"""Past Participle of sit?""";{sit, sat, seated};"""sat""";1;1;1;0
